Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,,,,
12-06-2023 17:36:04.088,2508,17,1,73,0,,,,
12-06-2023 17:36:04.107,2509,17,2,73,1,,,,
12-06-2023 17:36:04.130,2510,17,2,72,2,,,,
12-06-2023 17:36:04.144,2511,17,2,72,2,,,,
12-06-2023 17:36:04.164,2512,17,2,69,1,,,,
12-06-2023 17:36:04.184,2513,17,2,68,3,,,,
12-06-2023 17:36:04.204,2514,17,2,67,2,,,,
12-06-2023 17:36:04.227,2515,17,2,67,0,,,,
12-06-2023 17:36:04.246,2516,17,2,68,-3,,,,
12-06-2023 17:36:04.265,2517,17,2,69,-4,,,,
12-06-2023 17:36:04.286,2518,17,2,69,-5,,,,
12-06-2023 17:36:04.307,2519,17,2,64,-6,,,,
12-06-2023 17:36:04.324,2520,17,2,64,-6,,,,
12-06-2023 17:36:04.348,2521,17,2,60,-8,,,,
12-06-2023 17:36:04.365,2522,17,2,56,-9,,,,
12-06-2023 17:36:04.384,2523,17,2,53,-10,,,,
12-06-2023 17:36:04.407,2524,17,2,49,-10,,,,
12-06-2023 17:36:04.426,2525,17,2,44,-11,,,,
12-06-2023 17:36:04.448,2526,17,2,42,-10,,,,
12-06-2023 17:36:04.463,2527,17,2,39,-9,,,,
12-06-2023 17:36:04.488,2528,17,2,31,-13,,,,
12-06-2023 17:36:04.505,2529,17,2,28,-15,,,,
12-06-2023 17:36:04.529,2530,17,2,20,-18,,,,
12-06-2023 17:36:04.544,2531,17,2,18,-19,,,,
12-06-2023 17:36:04.564,2532,17,2,15,-19,,,,
12-06-2023 17:36:04.587,2533,17,2,9,-19,,,,
12-06-2023 17:36:04.605,2534,17,2,4,-18,,,,
12-06-2023 17:36:04.628,2535,17,2,2,-18,,,,
12-06-2023 17:36:04.648,2536,17,2,-2,-17,,,,
12-06-2023 17:36:04.667,2537,17,2,-4,-18,,,,
12-06-2023 17:36:04.685,2538,17,2,-4,-17,,,,
12-06-2023 17:36:04.705,2539,17,2,-3,-16,,,,
12-06-2023 17:36:04.726,2540,17,2,-2,-15,,,,
12-06-2023 17:36:04.745,2541,17,2,-1,-14,,,,
12-06-2023 17:36:04.765,2542,17,3,0,-12,,,,
12-06-2023 17:36:04.786,2543,17,3,3,-11,,,,
12-06-2023 17:36:04.807,2544,17,3,5,-10,,,,
12-06-2023 17:36:04.825,2545,17,2,8,-8,,,,
12-06-2023 17:36:04.848,2546,17,2,9,-10,,,,
12-06-2023 17:36:04.864,2547,17,2,10,-10,,,,
12-06-2023 17:36:04.886,2548,17,2,12,-11,,,,
12-06-2023 17:36:04.907,2549,17,2,15,-11,,,,
12-06-2023 17:36:04.926,2550,17,2,16,-11,,,,
12-06-2023 17:36:04.948,2551,17,2,20,-12,,,,
12-06-2023 17:36:04.966,2552,17,2,23,-13,,,,
12-06-2023 17:36:04.987,2553,17,2,25,-13,,,,
12-06-2023 17:36:05.005,2554,17,2,28,-14,,,,
12-06-2023 17:36:05.027,2555,17,2,31,-13,,,,
12-06-2023 17:36:05.047,2556,17,2,32,-13,,,,
12-06-2023 17:36:05.065,2557,17,2,36,-12,,,,
12-06-2023 17:36:05.086,2558,17,2,39,-12,,,,
12-06-2023 17:36:05.104,2559,17,2,40,-12,,,,
12-06-2023 17:36:05.127,2560,17,2,42,-12,,,,
12-06-2023 17:36:05.147,2561,17,2,44,-12,,,,
12-06-2023 17:36:05.164,2562,17,2,44,-12,,,,
12-06-2023 17:36:05.186,2563,17,2,45,-12,,,,
12-06-2023 17:36:05.205,2564,17,2,45,-11,,,,
12-06-2023 17:36:05.226,2565,17,2,46,-10,,,,
12-06-2023 17:36:05.245,2566,17,2,44,-11,,,,
12-06-2023 17:36:05.268,2567,18,1,41,-11,,,,
12-06-2023 17:36:05.286,2568,16,0,31,-3,,,,
12-06-2023 17:36:05.304,2569,17,1,52,-10,,,,
12-06-2023 17:36:05.327,2570,13,-1,41,-9,,,,
12-06-2023 17:36:05.352,2571,14,-1,39,-9,,,,
12-06-2023 17:36:05.371,2572,11,-2,48,-8,,,,
12-06-2023 17:36:05.387,2573,14,-1,46,-5,,,,
12-06-2023 17:36:05.409,2574,13,-1,45,-3,,,,
12-06-2023 17:36:05.431,2575,13,-1,42,-6,,,,
12-06-2023 17:36:05.445,2576,12,0,39,-4,,,,
12-06-2023 17:36:05.467,2577,13,0,38,-5,,,,
12-06-2023 17:36:05.486,2578,13,0,35,-5,,,,
12-06-2023 17:36:05.509,2579,14,1,34,-3,,,,
12-06-2023 17:36:05.525,2580,13,0,33,-4,,,,
12-06-2023 17:36:05.546,2581,14,1,31,-4,,,,
12-06-2023 17:36:05.565,2582,14,1,29,-5,,,,
12-06-2023 17:36:05.587,2583,14,1,29,-6,,,,
12-06-2023 17:36:05.607,2584,14,1,27,-6,,,,
12-06-2023 17:36:05.627,2585,14,1,26,-9,,,,
12-06-2023 17:36:05.646,2586,15,1,26,-9,,,,
12-06-2023 17:36:05.664,2587,15,1,25,-9,,,,
12-06-2023 17:36:05.687,2588,15,1,25,-10,,,,
12-06-2023 17:36:05.706,2589,15,2,25,-9,,,,
12-06-2023 17:36:05.727,2590,15,1,26,-9,,,,
12-06-2023 17:36:05.747,2591,16,1,27,-10,,,,
12-06-2023 17:36:05.766,2592,16,1,28,-10,,,,
12-06-2023 17:36:05.785,2593,16,1,33,-10,,,,
